date,year,month,day,weekday,hour,is_weekend
2023-01-06,2023,1,6,4,18,False
2023-01-06,2023,1,6,4,19,False
2023-01-06,2023,1,6,4,20,False
2023-01-06,2023,1,6,4,21,False
2023-01-06,2023,1,6,4,22,False
2023-01-06,2023,1,6,4,23,False
2023-01-07,2023,1,7,5,0,True
2023-01-07,2023,1,7,5,1,True
2023-01-07,2023,1,7,5,2,True
2023-01-07,2023,1,7,5,3,True
2023-01-07,2023,1,7,5,4,True
2023-01-07,2023,1,7,5,5,True
2023-01-07,2023,1,7,5,6,True
2023-01-07,2023,1,7,5,7,True
2023-01-07,2023,1,7,5,8,True
2023-01-07,2023,1,7,5,9,True
2023-01-07,2023,1,7,5,10,True
2023-01-07,2023,1,7,5,11,True
2023-01-07,2023,1,7,5,12,True
2023-01-07,2023,1,7,5,13,True
2023-01-07,2023,1,7,5,14,True
2023-01-07,2023,1,7,5,15,True
2023-01-07,2023,1,7,5,16,True
2023-01-07,2023,1,7,5,17,True
2023-01-07,2023,1,7,5,18,True
2023-01-07,2023,1,7,5,19,True
2023-01-07,2023,1,7,5,20,True
2023-01-07,2023,1,7,5,21,True
2023-01-07,2023,1,7,5,22,True
2023-01-07,2023,1,7,5,23,True
2023-01-08,2023,1,8,6,0,True
2023-01-08,2023,1,8,6,1,True
2023-01-08,2023,1,8,6,2,True
2023-01-08,2023,1,8,6,3,True
2023-01-08,2023,1,8,6,4,True
2023-01-08,2023,1,8,6,5,True
2023-01-08,2023,1,8,6,6,True
2023-01-08,2023,1,8,6,7,True
2023-01-08,2023,1,8,6,8,True
2023-01-08,2023,1,8,6,9,True
2023-01-08,2023,1,8,6,10,True
2023-01-08,2023,1,8,6,11,True
2023-01-08,2023,1,8,6,12,True
2023-01-08,2023,1,8,6,13,True
2023-01-08,2023,1,8,6,14,True
2023-01-08,2023,1,8,6,15,True
2023-01-08,2023,1,8,6,16,True
2023-01-08,2023,1,8,6,17,True
2023-01-08,2023,1,8,6,18,True
2023-01-08,2023,1,8,6,19,True
2023-01-08,2023,1,8,6,20,True
2023-01-08,2023,1,8,6,21,True
2023-01-08,2023,1,8,6,22,True
2023-01-08,2023,1,8,6,23,True
2023-01-09,2023,1,9,0,0,False
